id,episode_id,aired
1120,3530,1999-12-31
1121,3531,2000-01-03
1122,3532,2000-01-04
1123,3533,2000-01-05
1124,3534,2000-01-06
1125,3127,1998-03-17
1126,3535,2000-01-07
1127,3536,2000-01-10
1128,3537,2000-01-11
1129,2759,1996-09-05
1130,3538,2000-01-12
1131,3811,2001-03-12
1132,3539,2000-01-13
1133,3540,2000-01-14
1134,3541,2000-01-17
1135,3542,2000-01-18
1136,4730,2005-03-11
1137,3543,2000-01-19
1138,3544,2000-01-20
1139,3545,2000-01-21
1140,3885,2001-06-22
1141,3546,2000-01-24
1142,3547,2000-01-25
1143,3548,2000-01-26
1144,3549,2000-01-27
1145,3550,2000-01-28
1146,3551,2000-01-31
1147,3128,1998-03-18
1148,3552,2000-02-01
1149,3553,2000-02-02
1150,3554,2000-02-03
1151,3555,2000-02-04
